projct_name,name,bvalue,mvalue
gemver,time.user_s,0.09,0.06
adi,time.rss,32392.0,
syr2k,time.user_s,8.16,1.42
3mm,time.user_s,24.35,
adi,time.system_s,0.2,
floyd-warshall,time.real_s,116.1,17.32
durbin,time.real_s,0.02,0.02
mvt,time.user_s,0.07,0.04
trisolv,time.real_s,0.03,0.01
jacobi-2d,time.user_s,13.22,5.92
covariance,time.user_s,7.93,
jacobi-1d,time.system_s,0.0,0.0
gesummv,time.rss,27728.0,80320.0
heat-3d,time.user_s,27.06,14.3
gemm,time.user_s,4.99,1.37
gesummv,time.system_s,0.0,0.0
nussinov,time.real_s,25.01,5.75
fdtd-2d,time.real_s,11.12,6.64
deriche,time.real_s,4.42,4.31
jacobi-1d,time.rss,1808.0,32352.0
seidel-2d,time.real_s,27.43,
2mm,time.user_s,12.66,
floyd-warshall,time.rss,31708.0,31728.0
adi,time.real_s,19.62,
floyd-warshall,time.system_s,1.36,1.32
gemver,time.system_s,0.0,0.02
2mm,time.real_s,12.85,
syr2k,time.rss,31080.0,49784.0
3mm,time.rss,53540.0,
3mm,time.system_s,0.2,
adi,time.user_s,19.42,
syr2k,time.system_s,0.25,0.28
gemver,time.rss,32496.0,157452.0
atax,time.rss,32516.0,94680.0
syrk,time.rss,21792.0,31068.0
covariance,time.real_s,8.33,
heat-3d,time.real_s,27.43,15.39
bicg,time.rss,32496.0,94724.0
mvt,time.system_s,0.0,0.01
jacobi-2d,time.rss,27628.0,13190236.0
bicg,time.system_s,0.0,0.0
mvt,time.rss,32424.0,157600.0
deriche,time.user_s,2.8,2.57
jacobi-2d,time.system_s,0.29,1.09
gemm,time.real_s,5.22,1.6
nussinov,time.user_s,24.46,5.21
fdtd-2d,time.user_s,10.5,5.45
seidel-2d,time.user_s,26.67,
atax,time.system_s,0.0,0.0
syrk,time.system_s,0.35,0.19
durbin,time.user_s,0.01,0.0
covariance,time.system_s,0.39,
jacobi-1d,time.user_s,0.01,0.0
gemm,time.rss,29536.0,38828.0
trisolv,time.user_s,0.02,0.01
heat-3d,time.system_s,0.35,1.07
mvt,time.real_s,0.07,0.06
bicg,time.real_s,0.06,0.05
jacobi-2d,time.real_s,13.52,7.02
gemm,time.system_s,0.22,0.23
gesummv,time.user_s,0.04,0.03
heat-3d,time.rss,28144.0,12864300.0
covariance,time.rss,25588.0,
atax,time.real_s,0.06,0.05
syrk,time.real_s,5.03,1.27
gemver,time.real_s,0.09,0.08
2mm,time.system_s,0.19,
3mm,time.real_s,24.56,
syr2k,time.real_s,8.41,1.7
2mm,time.rss,37276.0,
floyd-warshall,time.user_s,114.72,15.99
jacobi-1d,time.real_s,0.01,0.01
seidel-2d,time.rss,32532.0,
deriche,time.rss,139636.0,623244.0
nussinov,time.rss,25812.0,25660.0
fdtd-2d,time.rss,29336.0,9391816.0
gesummv,time.real_s,0.04,0.04
nussinov,time.system_s,0.55,0.54
fdtd-2d,time.system_s,0.61,1.19
bicg,time.user_s,0.06,0.04
deriche,time.system_s,1.62,1.73
atax,time.user_s,0.05,0.05
syrk,time.user_s,4.66,1.07
seidel-2d,time.system_s,0.75,
durbin,time.system_s,0.0,0.01
trisolv,time.system_s,0.0,0.0
trisolv,time.rss,31160.0,31508.0
durbin,time.rss,1768.0,61856.0
